twitter_user_id,twitter_screen_name,twitter_name,twitter_location,twitter_description,twitter_followers_count,twitter_friends_count,twitter_created_at,twitter_verified,twitter_lang,twitter_profile_image_url,date_crawled
46376581,ashrafghani,"Ashraf Ghani","Kabul, Afghanistan","President of the Islamic Republic of Afghanistan. Personal tweets from Dr. Ashraf Ghani are signed - AG.",299125,17,"Thu Jun 11 12:34:40 +0000 2009",1,en,http://pbs.twimg.com/profile_images/752424086526169090/eSgvsEMc_normal.jpg,"2017-05-18 16:06:10"
2870463431,afgexecutive,"Dr. Abdullah",Kabul,"This is the official account of Dr. Abdullah Abdullah the Chief Executive of the Islamic Republic of Afghanistan.",100547,1,"Mon Nov 10 12:03:32 +0000 2014",1,en,http://pbs.twimg.com/profile_images/598755190963974144/j5FdHBea_normal.jpg,"2017-05-18 16:07:10"
273410176,ediramaal,"Edi Rama","Tirane - Shqipëri","Faqja Zyrtare e Kryeministrit të Republikës së Shqipërisë",286570,285,"Mon Mar 28 12:53:15 +0000 2011",1,en,http://pbs.twimg.com/profile_images/529591825829347329/PhWoRpmd_normal.jpeg,"2017-05-18 16:08:11"
